dataset,exponent,N,epsilon,k_or_bandwidth_mult_or_alpha,connected,spectral_residual,operator_residual,fit_stability,boundary_fraction,density_variation_or_sparsity,status
desi_original_exponent,2.5,800,85.5078,1.0,True,4.752754425324519e-24,,,,0.0773125,OK
desi_original_exponent,2.5,1500,66.5669,1.0,True,3.7132616528363874e-24,,0.657570585446771,,0.04272,OK
desi_original_exponent,2.5,2500,54.2776,1.0,True,4.361697958045489e-24,,0.7369507883132976,,0.02547328,OK
desi_original_exponent,2.5,4000,45.2016,1.0,True,6.463953785007225e-24,,0.6058685947439748,,0.015631625,OK
desi_corrected_exponent,5.0,800,85.5078,1.0,True,5.601115670181581e-29,,,,0.0773125,OK
desi_corrected_exponent,5.0,1500,66.5669,1.0,True,1.1361472256120398e-28,,0.3596172051367086,,0.04272,OK
desi_corrected_exponent,5.0,2500,54.2776,1.0,True,3.0582849516128117e-28,,0.5618430401954762,,0.02547328,OK
desi_corrected_exponent,5.0,4000,45.2016,1.0,True,4.6312111425384e-28,,0.3772569212305514,,0.015631625,OK
synthetic_uniform_box,5.0,800,12.6670,1.0,True,6.006057205989573e-25,,,,0.10348125,OK
synthetic_uniform_box,5.0,1500,10.1526,1.0,True,7.024901024301737e-25,,0.15494999035845422,,0.05818488888888889,OK
synthetic_uniform_box,5.0,2500,8.2250,1.0,True,1.408691006558507e-24,,0.14113014820944425,,0.03286592,OK
synthetic_uniform_box,5.0,4000,7.0638,1.0,True,1.922934047047092e-24,,0.1820169768089666,,0.02137825,OK
synthetic_clustered,5.0,800,5.8951,1.0,True,5.555034801176426e-23,,,,0.077384375,OK
synthetic_clustered,5.0,1500,4.7980,1.0,True,5.700518422583458e-23,,0.9984066322629229,,0.05162933333333333,OK
synthetic_clustered,5.0,2500,3.8636,1.0,True,8.838715650813201e-23,,0.9987587121810945,,0.03192928,OK
synthetic_clustered,5.0,4000,3.3710,1.0,True,1.1616868232757178e-22,,0.9805758446769108,,0.023096,OK
synthetic_masked,5.0,800,11.6164,1.0,True,7.019726096763487e-25,,,,0.093740625,OK
synthetic_masked,5.0,1500,9.1089,1.0,True,1.5162285251582353e-24,,1.012332866394331,,0.050141333333333336,OK
synthetic_masked,5.0,2500,7.6888,1.0,True,2.4024664205197288e-24,,0.3498208041462198,,0.03221376,OK
synthetic_masked,5.0,4000,6.5120,1.0,True,2.4670015534540493e-24,,0.2647181714420691,,0.020277875,OK
synthetic_desi_radial_selection,5.0,800,10.2219,1.0,True,1.3569669747249757e-24,,,,0.063503125,OK
synthetic_desi_radial_selection,5.0,1500,8.5071,1.0,True,2.0764077822770107e-24,,0.24570172138608085,,0.042750222222222224,OK
synthetic_desi_radial_selection,5.0,2500,7.0548,1.0,True,3.0072135013493982e-24,,0.21367931032001297,,0.0272528,OK
synthetic_desi_radial_selection,5.0,4000,6.0111,1.0,True,3.6793987232446015e-24,,0.1322816143055131,,0.018276,OK
alpha_norm_desi_alpha=0.0,5.0,800,85.5078,0.0,True,5.601115670181581e-29,,,,,OK
alpha_norm_desi_alpha=0.0,5.0,1500,66.5669,0.0,True,1.1361472256120398e-28,,0.3596172051367086,,,OK
alpha_norm_desi_alpha=0.0,5.0,2500,54.2776,0.0,True,3.0582849516128117e-28,,0.5618430401954762,,,OK
alpha_norm_desi_alpha=0.0,5.0,4000,45.2016,0.0,True,4.6312111425384e-28,,0.3772569212305514,,,OK
alpha_norm_uniform_alpha=0.0,5.0,800,12.6670,0.0,True,6.006057205989573e-25,,,,,OK
alpha_norm_uniform_alpha=0.0,5.0,1500,10.1526,0.0,True,7.024901024301737e-25,,0.15494999035845422,,,OK
alpha_norm_uniform_alpha=0.0,5.0,2500,8.2250,0.0,True,1.408691006558507e-24,,0.14113014820944425,,,OK
alpha_norm_uniform_alpha=0.0,5.0,4000,7.0638,0.0,True,1.922934047047092e-24,,0.1820169768089666,,,OK
alpha_norm_clustered_alpha=0.0,5.0,800,5.8951,0.0,True,5.555034801176426e-23,,,,,OK
